#,Spanish,English,Presente,Pasado,Pasado Perfecto,used,sample,sinonimos
1,surgir,to arise,arose,arise,arisen,It arose -  it didn't arise -  it has never arisen,let me know if something arises,comes up
2,despertar,to awake,awake,awoke,awoken,I awoke but you didn't awake -  I've never awoken,He's been awake since 4 this morning,
3,ser/estar,to be,be,be,been,I am -  you are -  I was -  you were -  I've never been,you were here yesterday,
4,golpear // ganar,to beat,beat,beat,beaten,I beat -  you beat it -  he has beaten it,I'm going to beat him -  don't worries. Come on -  beat it!. He's going to beat him up,
5,convertirse,to become,become,become,became,I became but you didn't become -  I've never become,He later became a rock star -  this customer becoming a problem,
6,empezar,to begin,begin,began,begun,I began but you didn't begin -  I've never begun,the problem began a few months ago,
7,doblar,to bend,bend,bent,bent,I bent it but you didn't bend it -  I've never bent it,Try not to bend the rule -  he bent his knees,
8,apostar,to bet,bet,bet,bet,I bet but you didn't bet -  I've never bet it,He's never bet against that -  he bet on the winning horse,
9,morder,to bite,bite,bit,bitten,I bit him  but he didn't bite me -  I've never bitten him,I've never bitten anyone,
10,sangrar,to bleed,bleed,bled,bled,I bled but you dind't bleed -  I've never bled,He's never bled that  much,
11,soplar,to blow,blow,blew,blown,I  blew it but you didn't blow it -  I've never blown it,he blew me away -  // Oh man! I blew it // he blew out the candles,
12,romper,to brake,break,broke,broken,I broke it but you didn't break it -  I've never broken it,I've never broken a leg,
13,traer,to bring,bring,brought,brought,I brought it but you didn't bring it -  I've never brought it,He brought it up a couple of times in the meeting,
14,emitir,to broadcast,broadcast,broadcast,broadcast,I broadcast but you didn't broadcast it -  I've never broadcast,The old radio is not broadcasting anymore,
15,,,,,,,,
